Input Size,Run Time (ns)
0,3207
1,2993
2,4490
3,4490
4,4489
5,4918
6,5131
7,4490
8,4703
9,4703
10,4490
11,4490
12,4490
13,4918
14,4917
15,5345
16,5772
17,4703
18,4704
19,5131
20,5131
21,4917
22,7697
23,8552
24,7697
Input Size,Run Time (ns)
0,2352
1,2565
2,3849
3,3848
4,3848
5,4062
6,3848
7,4276
8,4062
9,3849
10,4490
11,4276
12,3849
13,4276
14,4490
15,4490
16,4490
17,4490
18,4062
19,3848
20,4490
21,4490
22,5131
23,6842
24,6628
Input Size,Run Time (ns)
0,2565
1,2565
2,3849
3,3849
4,3848
5,3849
6,3849
7,3848
8,3848
9,3848
10,4276
11,3849
12,4276
13,3848
14,4490
15,4276
16,4062
17,4490
18,4276
19,4490
20,4490
21,4490
22,5772
23,6627
24,6415
