Input Size,Run Time (ns)
0,3207
1,3634
2,4062
3,4918
4,5559
5,5773
6,7483
7,8766
8,8552
9,9835
10,10263
11,12401
12,10477
13,12401
14,14112
15,16891
16,19029
17,24161
18,43191
19,55378
20,71629
21,109902
22,171696
23,270907
24,432981
Input Size,Run Time (ns)
0,2565
1,2779
2,3635
3,3849
4,4490
5,4490
6,6414
7,7056
8,7483
9,7697
10,8766
11,9835
12,9621
13,9408
14,11332
15,13470
16,15822
17,18815
18,26513
19,38059
20,57089
21,87451
22,136843
23,215741
24,345529
Input Size,Run Time (ns)
0,2779
1,2565
2,3421
3,3848
4,4490
5,5560
6,7056
7,7056
8,7056
9,7697
10,8339
11,9835
12,8339
13,8980
14,11546
15,11759
16,14111
17,18388
18,26299
19,38059
20,56448
21,87238
22,137057
23,215955
24,344888
